;1 Unit;Conversion;Class
acidulated water;500;1;0
acorn squash;30;1;8
aleppo pepper;20;1;9
amaretti;50;1;4
anchovy;150;1;10
aubergine;80;1;1
baguette;200;0.7564;0
banana bread;1;1;11
beansprouts;150;1;1
bechamel;150;1;0
bechamel sauce;150;1;0
beef brisket;300;1;8
beef fillet;300;1;8
beef flank;300;1;8
beef rib;300;1;8
beef rump;300;1;8
beef sausage;300;1;8
beetroot;75;1;1
berry;10;1;6
biscotti;80;1;2
biscuit;80;1;4
bitter;100;1;0
black pepper;20;1;9
blood orange;200;1;6
bouquet garni;50;1;6
bratwurst;150;1;8
bread roll;200;1;11
breadstick;50;1;11
brie cheese;200;1;3
brioche;200;1;11
brown bread;200;1;11
bun;200;1;11
butterhead lettuce;150;1;1
butternut squash;80;1;6
capsicum;80;1;6
carrot cake;1;1;11
catfish;250;1;10
caviar;100;1;10
cavolo nero;80;1;1
chicken breast;250;1;8
chicken leg;250;1;8
chicken thigh;250;1;8
chicken wing;250;1;8
chilli;40;1;9
chinese pancake;200;1;11
chip;100;1;0
chipotle;80;1;9
chocolate cake;1;1;0
chocolate mousse;1;1;0
chorizo;200;1;8
chutney;150;1;0
ciabatta;200;1;0
cilantro;30;1;9
citrus;80;1;6
clam;50;1;10
cod;200;1;10
compote;200;1;6
cottage cheese;200;1;3
coulis;200;1;0
courgette;80;1;1
crab;200;1;10
crayfish;100;1;10
cream cheese;200;1;3
cream liqueur;150;1;3
crepe;100;1;2
crisp;200;1;0
crostini;80;1;2
crudites;250;1;10
crumble;150;1;11
cumberland sauce;150;1;0
curacao;80;1;0
curly kale;80;1;1
curry;30;1;9
custard;150;1;0
dark chocolate;250;1;4
digestive biscuit;200;1;4
dover sole;200;1;10
dried chilli;30;1;9
duck confit;250;1;8
duck fat;30;1;5
dumpling;100;1;0
duxelles;150;1;0
egg wash;80;1;3
egg white;80;1;3
egg yolk;100;1;3
english muffin;200;1;11
fettuccine;500;1;2
fish;250;1;10
flatbread;200;1;11
focaccia;200;1;11
foie gras;250;1;5
frangipane;200;1;4
french bread;250;1;11
fruit juice;800;1;0
fudge;200;1;4
galangal;100;1;9
game;200;1;8
garlic bread;200;1;11
gelatine;30;1;0
gingerbread;200;1;11
globe artichoke;150;1;1
gnocchi;350;1;2
gratin;1;1;0
gravy;150;1;0
green cabbage;300;1;1
green tea;50;1;9
guacamole;200;1;1
haddock;250;1;10
halibut;250;1;10
harissa;80;1;9
herb;50;1;9
hollandaise sauce;150;1;0
horseradish sauce;150;1;0
iceberg lettuce;200;1;1
icing;110;1;0
john dory;200;1;10
jus;150;1;0
ketjap manis;125;1;0
kiwi;80;1;6
kiwi fruit;80;1;6
lamb chop;250;1;8
lamb loin;250;1;8
lamb rack;250;1;8
lamb rump;250;1;8
lamb shank;250;1;8
lamb shoulder;250;1;8
lasagne;200;1;11
leftover turkey;180;1;8
lemon balm;115;1;9
lemon sole;225;1;10
lemongrass;70;1;9
lobster;200;1;10
lychee;50;1;6
macaroon;150;1;4
marrow;200;1;8
mashed potato;200;1;1
meringue;140;1;4
mince;300;1;8
mint;120;1;9
mint sauce;100;1;0
mussel;250;1;10
mutton;250;1;8
naan bread;180;1;11
noodle soup;180;1;2
nori;60;1;0
nougat;140;1;4
octopus;280;1;10
paella;300;1;10
pancake;200;1;4
panettone;200;1;4
partridge;120;1;8
passion fruit;80;1;6
pastrami;200;1;8
pastry;120;1;4
pate;80;1;0
peel;7;1;0
peppercorn;100;1;1
pepperoncini;100;1;1
pepperoni;80;1;1
perch;180;1;10
pickled onion;70;1;1
pike;300;1;10
pink peppercorn;80;1;1
pistachio;120;1;7
pizza;200;1;11
polenta;200;1;2
